threshold,precision,recall,f1,accuracy
0.0,0.09,1.0,0.17,0.09
0.05,0.12,0.99,0.21,0.31
0.1,0.14,0.99,0.24,0.41
0.15,0.15,0.97,0.26,0.47
0.2,0.16,0.96,0.27,0.52
0.25,0.16,0.93,0.28,0.55
0.3,0.17,0.93,0.29,0.58
0.35,0.18,0.92,0.3,0.6
0.4,0.19,0.9,0.31,0.63
0.45,0.2,0.88,0.32,0.65
0.5,0.21,0.87,0.34,0.68
0.55,0.22,0.84,0.35,0.7
0.6,0.23,0.82,0.36,0.73
0.65,0.25,0.79,0.38,0.75
0.7,0.25,0.72,0.37,0.77
0.75,0.27,0.68,0.38,0.8
0.8,0.28,0.6,0.38,0.82
0.85,0.31,0.52,0.38,0.84
0.9,0.33,0.38,0.35,0.87
0.95,0.35,0.22,0.27,0.89
1.0,0.0,0.0,0.0,0.91
