threshold,precision,recall,f1,accuracy
0.0,0.09,1.0,0.17,0.09
0.05,0.17,0.83,0.29,0.61
0.1,0.19,0.78,0.3,0.66
0.15,0.2,0.77,0.31,0.68
0.2,0.2,0.75,0.31,0.69
0.25,0.2,0.75,0.32,0.7
0.3,0.2,0.71,0.31,0.71
0.35,0.21,0.7,0.32,0.72
0.4,0.21,0.68,0.32,0.73
0.45,0.21,0.67,0.32,0.73
0.5,0.22,0.66,0.33,0.74
0.55,0.22,0.64,0.33,0.75
0.6,0.22,0.62,0.32,0.76
0.65,0.22,0.6,0.33,0.76
0.7,0.23,0.58,0.32,0.77
0.75,0.23,0.55,0.32,0.78
0.8,0.23,0.52,0.32,0.79
0.85,0.23,0.48,0.31,0.8
0.9,0.25,0.45,0.32,0.82
0.95,0.28,0.4,0.33,0.85
1.0,0.0,0.0,0.0,0.91
